,,,DM_n,DM_mean,DM_std,DM_statistics
E_ABRTW-1,AR Flx Logit,RLS,9137.0,-0.0001891432792940099,5.0880222091839366e-05,-3.717219006350193
E_ABRTW-1,AR Flx Logit,sRLS,9137.0,0.00020282497427953863,2.1836373150797204e-05,9.28789197153935
E_ABRTW-1,AR Flx Logit,RMLE,9136.0,0.00018593774397602058,1.1788571079126367e-05,15.77184939101151
E_ABRTW-1,AR Flx Logit,sRMLE,9136.0,-3.339635115358516e-05,3.539122849711752e-06,-9.435819209427994
E_ABRTW-1,AR Flx Logit,Bayes,9137.0,0.00010147090769550362,6.371869392477349e-06,15.923953952340648
E_ABRTW-1,AR Flx Logit,Ada Bayes,9136.0,0.00011350858981776033,6.85630802854976e-06,16.554445485104086
E_ABRTW-1,RLS,Persistent,9137.0,-0.0011000886896934603,8.393319292402651e-05,-13.106000737718052
E_ABRTW-1,RLS,AR Logit Default,9137.0,-0.0002995318657989688,5.8459962407229875e-05,-5.1234291276951796
E_ABRTW-1,RLS,AR Flx Logit,9137.0,0.0001891432792940099,5.0880222091839366e-05,3.717219006350193
E_ABRTW-1,RLS,RLS,0.0,1.0,1.0,0.0
E_ABRTW-1,RLS,sRLS,9137.0,0.00039196825357354847,5.0108325074699555e-05,7.821989717230258
E_ABRTW-1,RLS,RMLE,9136.0,0.0003751017266278377,5.0682668911078004e-05,7.40058101423424
E_ABRTW-1,RLS,sRMLE,9136.0,0.00015576763149823198,5.1111793698144486e-05,3.0474200778175313
E_ABRTW-1,RLS,Bayes,9137.0,0.00029061418698951347,5.088495441975712e-05,5.7108881538156915
E_ABRTW-1,RLS,Ada Bayes,9136.0,0.00030267257246957747,5.027991169429842e-05,6.0194220114522885
E_ABRTW-1,sRLS,Persistent,9137.0,-0.0014920569432670086,7.259264075828664e-05,-20.552707220434616
E_ABRTW-1,sRLS,AR Logit Default,9137.0,-0.0006915001193725172,3.545420866075326e-05,-19.502967455836227
E_ABRTW-1,sRLS,AR Flx Logit,9137.0,-0.00020282497427953863,2.1836373150797204e-05,-9.28789197153935
E_ABRTW-1,sRLS,RLS,9137.0,-0.00039196825357354847,5.0108325074699555e-05,-7.821989717230258
E_ABRTW-1,sRLS,sRLS,0.0,1.0,1.0,0.0
E_ABRTW-1,sRLS,RMLE,9136.0,-1.6890982594977872e-05,2.235917717285478e-05,-0.7553971248670133
E_ABRTW-1,sRLS,sRMLE,9136.0,-0.00023622507772458364,2.4309756126504976e-05,-9.716763421508572
E_ABRTW-1,sRLS,Bayes,9137.0,-0.00010135406658403503,1.7812157202671448e-05,-5.689850977931442
E_ABRTW-1,sRLS,Ada Bayes,9136.0,-8.932013675323813e-05,1.722065849283943e-05,-5.186517594284314
E_ABRTW-1,RMLE,Persistent,9136.0,-0.001474978303823719,6.632338972873997e-05,-22.23797040877051
E_ABRTW-1,RMLE,AR Logit Default,9136.0,-0.0006747425841085115,3.2255208351910244e-05,-20.917727396345047
E_ABRTW-1,RMLE,AR Flx Logit,9136.0,-0.00018593774397602058,1.1788571079126367e-05,-15.77184939101151
E_ABRTW-1,RMLE,RLS,9136.0,-0.0003751017266278377,5.0682668911078004e-05,-7.40058101423424
E_ABRTW-1,RMLE,sRLS,9136.0,1.6890982594977872e-05,2.235917717285478e-05,0.7553971248670133
E_ABRTW-1,RMLE,RMLE,0.0,1.0,1.0,0.0
E_ABRTW-1,RMLE,sRMLE,9136.0,-0.00021933409512960576,1.2927009136760305e-05,-16.966189831286535
E_ABRTW-1,RMLE,Bayes,9136.0,-8.445578318168528e-05,1.018692777307366e-05,-8.290150160505323
E_ABRTW-1,RMLE,Ada Bayes,9136.0,-7.242915415826026e-05,9.517487519404702e-06,-7.6096963573467
E_ABRTW-1,sRMLE,Persistent,9136.0,-0.0012556442086941132,6.857258268851391e-05,-18.310167679338914
E_ABRTW-1,sRMLE,AR Logit Default,9136.0,-0.00045540848897890573,2.6560512203675036e-05,-17.145134888984206
